,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
264,Ifanadiana,MG,76.23,broken clouds,-21.3,47.6333,NaN
265,Antalaha,MG,82.17,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
277,Bengkulu,ID,84.24,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
287,Maragogi,BR,79.18,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
288,Saint-Joseph,RE,80.98,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
290,Bubaque,GW,76.17,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
294,Mayumba,GA,75.96,broken clouds,-3.432,10.6554,LIKWALE LODGE
295,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
302,Hambantota,LK,82.74,scattered clouds,6.1241,81.1185,Bungalow 63
310,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
311,Jamame,SO,80.02,overcast clouds,0.0722,42.7506,NaN
315,Isangel,VU,79.65,overcast clouds,-19.55,169.2667,Tanna Lodge
320,Bandarbeyla,SO,76.64,overcast clouds,9.4942,50.8122,JABIR HOTEL
323,Faanui,PF,81.3,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
335,Cap Malheureux,MU,82.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
340,Salvacion,PH,79.47,broken clouds,7.9833,126.1333,NaN
347,Dingle,PH,84.56,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
351,Pandan,PH,79.14,overcast clouds,14.0453,124.1694,Bonifacio Lodge
352,Mount Gambier,AU,86.77,clear sky,-37.8333,140.7667,The Commodore
353,Tulagi,SB,84.18,overcast clouds,-9.0996,160.1476,Raiders Hotel & Dive
354,Labuhan,ID,79.79,heavy intensity rain,-6.8844,112.2051,DoubleFAG
366,Yanam,IN,81.0,broken clouds,16.7333,82.2167,The Regency Hotel
369,Eydhafushi,MV,81.3,broken clouds,5.1033,73.0708,Soneva Fushi
379,Silanga,PH,83.44,broken clouds,11.8181,124.8431,Rosario Hills Mountain View Park Resort
380,Teahupoo,PF,76.96,light rain,-17.8333,-149.2667,Vanira Lodge
389,Rockhampton,AU,84.09,scattered clouds,-23.3833,150.5,Mercure Rockhampton
394,Paungde,MM,84.02,overcast clouds,18.4833,95.5,Shwe Eain Matt highly cool guest house
397,Arawa,PG,86.45,light rain,-6.2132,155.5367,Coastline Guest House
399,Pizarro,CO,76.1,light rain,4.9533,-77.366,Hotel Limonar
406,Kiama,AU,75.38,scattered clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
409,Namatanai,PG,85.01,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
415,Indi,IN,81.05,scattered clouds,17.1667,75.9667,Shree Gurubhojanalaya
417,Aden,YE,77.27,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
421,Mareeba,AU,84.43,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
431,Port Lincoln,AU,79.57,clear sky,-34.7333,135.8667,Port Lincoln Hotel
432,Poum,NC,81.1,light rain,-20.2333,164.0167,NaN
435,Bambanglipuro,ID,84.94,overcast clouds,-7.95,110.2833,Puri Brata
442,Ambilobe,MG,79.12,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
445,Sao Jose Da Coroa Grande,BR,79.3,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
