City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
61,Lavrentiya,RU,2/7/2022 5:04,65.5833,-171,-20.47,91,59,8.88,broken clouds
62,Emerald,AU,2/7/2022 5:04,-23.5333,148.1667,86.34,30,4,12.84,clear sky
63,Avarua,CK,2/7/2022 5:01,-21.2078,-159.775,78.85,83,40,11.5,scattered clouds
64,Meulaboh,ID,2/7/2022 5:01,4.1363,96.1285,79.59,82,98,4.41,overcast clouds
65,Puerto Ayora,EC,2/7/2022 5:04,-0.7393,-90.3518,73.54,94,21,7.36,few clouds
66,Severo-Kurilsk,RU,2/7/2022 5:04,50.6789,156.125,31.01,81,100,9.55,overcast clouds
67,Bitung,ID,2/7/2022 5:04,1.4451,125.1824,86.85,79,89,11.39,overcast clouds
68,Tabou,CI,2/7/2022 5:04,4.423,-7.3528,78.03,85,99,5.12,light rain
69,Bredasdorp,ZA,2/7/2022 5:02,-34.5322,20.0403,66.27,87,11,4.27,few clouds
70,Prince Rupert,CA,2/7/2022 5:04,54.3161,-130.3201,42.89,87,100,26.46,light rain
71,Luderitz,NA,2/7/2022 5:04,-26.6481,15.1594,68.63,74,61,2.55,broken clouds
72,Ziro,IN,2/7/2022 5:04,27.6333,93.8333,46.02,61,65,0.2,broken clouds
73,Caravelas,BR,2/7/2022 5:01,-17.7125,-39.2481,74.91,90,42,5.1,scattered clouds
74,Sumbawanga,TZ,2/7/2022 5:04,-7.9667,31.6167,57.22,95,100,2.64,light rain
75,Haines Junction,CA,2/7/2022 5:04,60.7522,-137.5108,19.08,95,49,5.95,scattered clouds
76,Deputatskiy,RU,2/7/2022 4:59,69.3,139.9,-32.8,94,85,4.83,overcast clouds
77,Ustupo,PA,2/7/2022 5:04,9.1333,-77.9333,76.71,84,41,8.81,scattered clouds
78,Lisakovsk,KZ,2/7/2022 5:04,52.5369,62.4936,15.06,95,100,2.64,light snow
79,Batemans Bay,AU,2/7/2022 5:04,-35.7167,150.1833,75.2,61,48,10.83,scattered clouds
80,Perth,AU,2/7/2022 5:04,-31.9333,115.8333,75.2,49,75,20.71,broken clouds
81,Fare,PF,2/7/2022 5:04,-16.7,-151.0167,81.19,74,76,20.04,light rain
82,Margate,GB,2/7/2022 5:01,51.3813,1.3862,40.75,72,11,8.99,few clouds
83,Port Elizabeth,ZA,2/7/2022 5:03,-33.918,25.5701,66.49,88,0,2.3,clear sky
84,Cape Town,ZA,2/7/2022 5:00,-33.9258,18.4232,65.26,88,75,1.01,broken clouds
85,Mecca,SA,2/7/2022 5:04,21.4267,39.8261,67.33,37,1,2.28,clear sky
86,Hilo,US,2/7/2022 5:01,19.7297,-155.09,69.8,93,76,3,broken clouds
87,Kralendijk,BQ,2/7/2022 5:04,12.15,-68.2667,76.98,83,34,8.05,scattered clouds
